date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:19	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	http://findmatthew.com/robots.txt		(from )
16:56:20	23037/23037	---MCZ	200	added ('OK')	text/html	etag:W/%22603fdb87-59fd%22	http://findmatthew.com/	/home/mubashar/websites/portfolio/findmatthew.com/index.html	(from )
16:56:21	2475/2475	---MC-	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2011:56:20%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,600,700,600italic,300italic,400italic,300,700italic,800italic,800	/home/mubashar/websites/portfolio/fonts.googleapis.com/css9188.css	(from http://findmatthew.com/)
16:56:22	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	/home/mubashar/websites/portfolio/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
16:56:24	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22603fdb87-47e%22	http://findmatthew.com/favicon.ico	/home/mubashar/websites/portfolio/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
16:56:24	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%22603fdb87-62c3%22	http://findmatthew.com/style/style.css	/home/mubashar/websites/portfolio/findmatthew.com/style/style.css	(from http://findmatthew.com/)
16:56:25	5876/5876	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03faa-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	/home/mubashar/websites/portfolio/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
16:56:25	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	/home/mubashar/websites/portfolio/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
16:56:26	29299/29299	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f24-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	/home/mubashar/websites/portfolio/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
16:56:27	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	/home/mubashar/websites/portfolio/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
16:56:29	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-15bd9%22	http://findmatthew.com/scripts/pt.min.js	/home/mubashar/websites/portfolio/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
16:56:30	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-11f5%22	http://findmatthew.com/scripts/index.js	/home/mubashar/websites/portfolio/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
16:56:31	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%22603fdb87-16f5%22	http://findmatthew.com/scripts/modal.js	/home/mubashar/websites/portfolio/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
16:56:34	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f2a1ac7-247b%22	http://findmatthew.com/img/filler.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/filler.c.delayed	(from http://findmatthew.com/)
16:57:02	210416/210416	---M--	200	added ('OK')	image/png	etag:%22603fdb87-335f0%22	http://findmatthew.com/img/me.png	/home/mubashar/websites/portfolio/findmatthew.com/img/me.png	(from http://findmatthew.com/)
16:57:09	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-795d%22	http://findmatthew.com/img/thumb-4.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
16:57:18	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-ab71%22	http://findmatthew.com/img/thumb-5.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
16:57:24	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
16:57:32	315448/315448	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-4d038%22	http://findmatthew.com/img/thumb-3.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
16:57:34	51638/51638	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-c9b6%22	http://findmatthew.com/img/blog-1.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/blog-1.jpg	(from http://findmatthew.com/)
16:57:36	350941/350941	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-55add%22	http://findmatthew.com/img/thumb-2.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/thumb-2.jpg	(from http://findmatthew.com/)
16:57:39	35212/35212	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-898c%22	http://findmatthew.com/img/blog-2.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/blog-2.jpg	(from http://findmatthew.com/)
16:57:44	50412/50412	---M--	200	added ('OK')	image/jpeg	etag:%22603fdb87-c4ec%22	http://findmatthew.com/img/blog-3.jpg	/home/mubashar/websites/portfolio/findmatthew.com/img/blog-3.jpg	(from http://findmatthew.com/)
